NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. In dieser Studie, erforschen wir was Männer attraktiv macht.;2. Immer mehr Menschen nutzen Online-Banking. Dies ist eine Kontrollfrage. Bitte wählen Sie die zweite Antwort.;3. [Random Choice]:Set 1;3. [Random Choice]:Set 2;3. [Random Choice]:Set 3;3. [Random Choice]:Set 4;3. [Random Choice]:Set 5;3. [Random Choice]:Set 6;3. [Random Choice]:Set 7;3. [Random Choice]:Set 8;3. [Random Choice]:Set 9;3. [Random Choice]:Set 10;3. [Random Choice]:Set 11;3. [Random Choice]:Set 12;3. [Random Choice]:Set 13;3. [Random Choice]:Set 14;3. [Random Choice]:Set 15;3. [Random Choice]:Set 16;4. Bitte wähle das attraktivste Profil aus.;5. Bitte wähle das attraktivste Profil aus.;6. Bitte wähle das attraktivste Profil aus.;7. Bitte wähle das attraktivste Profil aus.;8. Bitte wähle das attraktivste Profil aus.;9. Bitte wähle das attraktivste Profil aus.;10. Bitte wähle das attraktivste Profil aus.;11. Bitte wähle das attraktivste Profil aus.;12. Bitte wähle das attraktivste Profil aus.;13. Bitte wähle das attraktivste Profil aus.;14. Bitte wähle das attraktivste Profil aus.;15. Bitte wähle das attraktivste Profil aus.;16. Bitte wähle das attraktivste Profil aus.;17. Bitte wähle das attraktivste Profil aus.;18. Bitte wähle das attraktivste Profil aus.;19. Bitte wähle das attraktivste Profil aus.;20. Wie würdest du dich selber auf dem politischen Spektrum einordnen?;21. Wie würdest du deine sexuelle Orientierung beschreiben?;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage!
1;f;27;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Thannhausen;-;86470;DEU;Android;191;2021-07-06 10:09:05;-;Fast immer;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;-;-;-;-;5C;6C;7C;8A;9B;10B;11C;12B;13C;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
2;f;39;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;No degree;Duesseldorf;x;40477;DEU;ios;107;2021-07-06 09:04:41;-;Fast immer;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1B;2B;3B;4B;5A;6A;-;-;9A;10C;11A;-;-;-;15A;-;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
3;f;26;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;No degree;Meschede;-;59872;DEU;iOS;93;2021-07-06 09:03:09;-;Fast immer;0;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;-;2B;3B;4B;5A;-;7B;-;9A;10C;-;12C;-;-;15A;16B;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
4;f;21;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;Lehre / Ausbildung;Abitur / Fachabitur;Waltrop;-;45731;DEU;iOS;221;2021-07-06 09:39:26;-;Fast immer;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1C;-;-;4A;5C;6C;7A;8B;-;-;11C;12C;13C;14B;-;-;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
5;f;41;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Untermeitingen;-;86836;DEU;Android;143;2021-07-06 10:12:27;-;Fast immer;0;1;1;1;0;1;1;0;1;1;0;1;1;1;0;0;-;2B;3B;4A;-;6A;7A;-;9C;10C;-;12B;13C;14B;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
6;f;36;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Wetter (Ruhr);-;58300;DEU;iOS;180;2021-07-06 09:35:14;-;Fast immer;1;0;1;1;0;1;0;1;0;1;1;1;0;0;1;1;1A;-;3B;4A;-;6C;-;8A;-;10B;11C;12C;-;-;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
7;f;71;5;Berlin;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Berlin;x;12169;DEU;ios;231;2021-07-06 10:29:40;-;Fast immer;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1A;2B;-;-;-;6C;7C;8B;9B;10C;-;-;-;14B;15B;16A;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
8;f;39;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Abitur / Fachabitur;Hallenberg;-;59964;DEU;Android;189;2021-07-06 09:39:49;-;Fast immer;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1A;-;-;4A;5C;6C;7C;8B;9B;10B;-;-;13C;-;-;16B;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
9;f;19;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Bietigheim-Bissingen;-;74321;DEU;Android;97;2021-07-06 09:25:18;-;Fast immer;0;1;0;0;1;0;1;0;1;0;1;1;1;1;1;1;-;2B;-;-;5C;-;7A;-;9C;-;11C;12C;13C;14B;15A;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
10;f;32;1;Schleswig-Holstein;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Kiel;x;24114;DEU;Android;110;2021-07-06 09:49:55;-;Fast immer;1;1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;1A;2B;-;4A;-;6C;7A;-;-;10B;11B;-;13C;-;15B;16B;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
11;f;28;1;Hamburg;;;;;;;;Hamburg;x;20038;DEU;ios;69;2021-07-06 09:07:54;-;Fast immer;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1A;2B;3B;4B;5C;6C;-;8C;9A;-;11A;-;13A;-;-;-;Eher links;Anders / divers;Pudding
12;f;20;7;Sachsen;;;;;;;;Zinna;-;04860;DEU;Android;148;2021-07-06 09:01:18;-;Fast immer;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1A;-;3B;4B;5C;-;-;-;-;-;11A;12C;13C;14B;15B;16A;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
13;f;34;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Realschulabschluss;Holzheim;-;89291;DEU;Android;115;2021-07-06 10:30:20;-;Fast immer;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;0;1A;2C;3B;-;5C;6A;7C;8A;-;10C;-;12C;13A;-;-;-;Eher mittig;Homosexuell (zum gleichen Geschlecht hingezogen);Pudding
14;f;38;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Pfullingen;-;72793;DEU;Android;160;2021-07-06 11:50:14;-;Fast immer;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1A;-;3B;4A;-;6C;7A;8B;9C;10B;-;-;-;-;15B;16B;Eher mittig;Keine Angaben;Pudding
15;f;30;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Muenchen;x;80331;DEU;ios;200;2021-07-06 09:01:51;-;Fast immer;0;0;1;1;1;1;0;0;1;1;1;1;0;1;1;0;-;-;3B;4B;5C;6B;-;-;9C;10A;11C;12C;-;14B;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
16;f;35;7;Thueringen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Meuselwitz, Thueringen;-;04610;DEU;ios;123;2021-07-06 10:20:20;-;Fast immer;0;0;1;0;1;1;0;1;1;1;1;1;0;1;0;1;-;-;3B;-;5C;6C;-;8A;9B;10C;11A;12B;-;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
17;f;20;7;Thueringen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Soemmerda;-;99610;DEU;ios;101;2021-07-06 08:58:17;-;Fast immer;0;0;1;1;1;0;1;1;1;0;0;1;0;1;1;1;-;-;3B;4B;5C;-;7C;8A;9A;-;-;12C;-;14B;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
18;f;31;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Achern;-;77855;DEU;android;236;2021-07-06 09:06:43;-;Fast immer;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;-;-;-;4B;5C;6C;7A;8A;-;10A;11A;12C;-;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
19;f;26;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Koeln;x;50823;DEU;Android;123;2021-07-06 10:04:17;-;Fast immer;1;1;1;0;1;0;1;1;0;1;1;0;1;0;0;1;1A;2B;3B;-;5C;-;7C;8A;-;10C;11B;-;13C;-;-;16B;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
20;f;24;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;x;21075;DEU;ios;77;2021-07-06 08:58:04;-;Fast immer;1;1;0;0;1;1;0;1;0;1;0;0;1;1;1;1;1A;2C;-;-;5C;6C;-;8A;-;10C;-;-;13A;14C;15B;16A;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
21;f;28;6;Sachsen-Anhalt;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Wannefeld;-;39638;DEU;Android;148;2021-07-06 09:24:27;-;Fast immer;0;1;1;1;1;1;0;0;0;1;1;1;0;1;1;0;-;2B;3B;4B;5C;6C;-;-;-;10C;11A;12C;-;14B;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
22;f;56;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Essen;x;45145;DEU;Android;187;2021-07-06 09:00:13;-;Fast immer;1;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1A;-;3B;4A;5C;-;7C;8A;9B;-;11A;12C;-;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
23;f;23;2;Nordrhein-Westfalen;;;;;;;;Lage;-;32791;DEU;Android;239;2021-07-06 09:10:30;-;Fast immer;0;1;1;0;1;1;1;1;0;0;1;1;1;0;0;1;-;2B;3B;-;5C;6C;7A;8A;-;-;11A;12C;13A;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
24;f;36;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Gelsenkirchen;x;45894;DEU;Android;72;2021-07-06 09:49:38;-;Fast immer;1;0;1;1;1;0;1;1;0;1;1;1;0;1;0;0;1A;-;3B;4B;5C;-;7B;8A;-;10C;11A;12B;-;14B;-;-;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
25;f;21;3b;Baden-Wuerttemberg;;;;;;;;Sinsheim;-;74889;DEU;ios;3140;2021-07-06 10:24:03;-;Fast immer;1;0;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1A;-;3B;4B;5C;-;7A;8B;9A;10C;-;-;13C;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
26;f;19;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Luedenscheid;-;58507;DEU;Android;61;2021-07-06 09:34:12;-;Fast immer;0;0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;-;-;3B;4B;-;6C;7C;-;9A;10C;11A;12C;13A;14B;-;-;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
27;f;23;7;Sachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Dresden;-;01069;DEU;ios;84;2021-07-06 09:01:55;-;Fast immer;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;1;-;2B;-;4A;-;6C;7A;8B;9C;10B;-;-;13C;14B;-;16B;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
28;f;16;5;Berlin;;;;;;;;Berlin;x;10115;DEU;Android;127;2021-07-06 09:16:52;-;Fast immer;1;1;1;1;1;1;0;0;0;1;1;0;1;0;1;0;1A;2A;3C;4A;5C;6C;-;-;-;10B;11B;-;13C;-;15B;-;Eher links;Homosexuell (zum gleichen Geschlecht hingezogen);Pudding
29;f;49;4;Bayern;in Rente;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Muenchen;x;80939;DEU;iOS;90;2021-07-06 09:36:53;-;Fast immer;0;1;0;0;1;1;1;1;1;0;1;0;1;0;1;1;-;2B;-;-;5A;6A;7A;8B;9B;-;11C;-;13B;-;15B;16C;Eher links;Anders / divers;Pudding
30;f;33;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Heiligenhaus;-;42579;DEU;iOS;195;2021-07-06 10:01:31;-;Fast immer;1;0;1;0;1;1;1;0;0;1;0;0;1;1;1;1;1A;-;3B;-;5C;6C;7B;-;-;10C;-;-;13A;14B;15A;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
31;f;32;7;Sachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Dohna, Sachsen;-;01809;DEU;Android;289;2021-07-06 10:35:41;-;Fast immer;1;1;1;0;0;0;1;1;1;0;1;1;0;0;1;1;1A;2A;3C;-;-;-;7A;8C;9B;-;11C;12C;-;-;15B;16A;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
32;f;41;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Kraichtal;-;76703;DEU;Android;111;2021-07-06 10:26:35;-;Fast immer;1;1;0;1;1;1;1;1;0;1;0;1;0;0;1;0;1B;2B;-;4B;5C;6C;7C;8B;-;10C;-;12C;-;-;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
33;f;19;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Marienwerder;-;16348;DEU;iOS;108;2021-07-06 09:37:37;-;Fast immer;0;1;0;1;1;1;1;1;0;1;0;1;0;0;1;1;-;2C;-;4B;5C;6C;7A;8A;-;10C;-;12C;-;-;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
34;f;31;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Bochum;x;44866;DEU;android;102;2021-07-06 09:21:16;-;Fast immer;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1A;2B;-;-;-;-;7C;8A;9B;-;11B;12C;13C;14B;15B;-;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
35;f;55;4;Bayern;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Alzenau in Unterfranken;-;63755;DEU;Android;161;2021-07-06 09:12:14;-;Fast immer;0;0;1;1;1;1;1;1;0;1;0;0;0;1;1;1;-;-;3B;4B;5C;6C;7B;8A;-;10C;-;-;-;14B;15A;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
36;f;19;1;Niedersachsen;;;;;;;;Oldenburg (Oldenburg);-;26133;DEU;ios;65;2021-07-06 09:00:05;-;Fast immer;1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;1;1A;-;-;4B;5C;6C;7C;8C;9A;-;11A;-;13B;-;-;16B;Eher mittig;Homosexuell (zum gleichen Geschlecht hingezogen);Pudding
37;f;20;5;Berlin;;;;;;;;Berlin;x;10318;DEU;ios;105;2021-07-06 09:11:03;-;Fast immer;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;0;1A;2C;3B;-;5C;6C;7C;8A;-;-;11B;-;13C;-;15B;-;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
38;f;43;1;Niedersachsen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Osnabrueck;x;49090;DEU;Android;149;2021-07-06 09:33:17;-;Fast immer;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;1;-;2B;3B;4A;5C;6C;-;-;-;10C;11A;-;13C;14B;-;16A;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
39;f;40;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Birkenfeld;-;75217;DEU;ios;144;2021-07-06 11:22:32;-;Fast immer;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;-;2C;-;-;5C;-;7C;8A;9B;10C;-;12C;13A;14B;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
40;f;37;6;Sachsen-Anhalt;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Magdeburg;x;39104;DEU;Android;400;2021-07-06 10:34:53;-;Fast immer;0;1;0;0;0;1;0;1;1;1;1;1;1;0;1;1;-;2C;-;-;-;6C;-;8B;9B;10B;11A;12C;13C;-;15B;16A;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
41;f;51;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Hauptschulabschluss;Fussgoenheim;-;67136;DEU;Android;172;2021-07-06 09:02:29;-;Fast immer;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1C;2B;-;4B;-;6B;-;-;9C;10B;11A;-;-;14B;15C;16C;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
42;f;30;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;4000€ bis 5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Rheinhausen;-;79365;DEU;iOS;126;2021-07-06 10:42:39;-;Fast immer;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;-;2C;3B;-;5C;6C;7B;8A;-;-;11A;12C;13A;-;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
43;f;29;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Herne;x;44623;DEU;iOS;163;2021-07-06 10:01:05;-;Fast immer;1;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;1A;2C;3B;4B;5C;-;7C;8A;-;-;-;12B;-;14B;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
44;f;44;1;Niedersachsen;Sonstige;Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Garbsen;-;30823;DEU;Android;147;2021-07-06 11:40:44;-;Fast immer;1;0;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1A;-;3B;-;5C;-;7B;8A;9B;10C;11A;-;13A;-;-;16C;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
45;f;41;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Berlin;x;13593;DEU;Android;118;2021-07-06 09:38:06;-;Fast immer;1;1;1;0;1;1;0;0;1;0;1;1;1;0;1;0;1A;2C;3B;-;5C;6A;-;-;9B;-;11A;12C;13A;-;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
46;f;37;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Freiburg (Elbe);-;21729;DEU;Android;133;2021-07-06 10:05:04;-;Fast immer;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1A;-;3B;4B;5C;-;-;-;-;10C;11A;12C;13A;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
47;f;28;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Hamburg;x;21077;DEU;Android;133;2021-07-06 09:57:54;-;Fast immer;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;0;-;2B;3B;4B;5C;6C;-;-;9A;10C;11A;12C;-;14B;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
48;f;21;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Duisburg;x;47055;DEU;ios;221;2021-07-06 09:26:29;-;Fast immer;0;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;-;2C;3B;-;5C;6C;-;-;-;10B;11C;12C;13C;14B;-;16B;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
49;f;31;7;Sachsen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Weinboehla;-;01689;DEU;Android;158;2021-07-06 10:06:12;-;Fast immer;0;1;0;1;0;1;1;0;1;1;1;0;1;1;1;0;-;2C;-;4B;-;6C;7B;-;9A;10C;11A;-;13A;14B;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
50;f;23;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Berlin;x;12681;DEU;ios;92;2021-07-06 09:21:24;-;Fast immer;0;1;1;0;0;1;0;1;1;1;1;1;0;1;1;0;-;2B;3B;-;-;6C;-;8B;9C;10A;11C;12C;-;14A;15B;-;Eher mittig;Homosexuell (zum gleichen Geschlecht hingezogen);Pudding
51;f;29;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Chemnitz, Sachsen;-;09127;DEU;android;36;2021-07-06 09:17:16;-;Fast immer;1;1;1;0;0;1;1;0;1;1;1;1;0;1;0;0;1A;2B;3C;-;-;6A;7C;-;9A;10B;11B;12B;-;14A;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
52;f;23;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Vechta;-;49377;DEU;ios;97;2021-07-06 09:26:20;-;Fast immer;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;0;1A;2C;3B;-;-;-;7B;8A;-;-;11A;12C;13A;14B;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
53;f;20;3a;Rheinland-Pfalz;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Bremm;-;56814;DEU;android;129;2021-07-06 09:09:13;-;Fast immer;1;1;0;0;1;0;1;1;1;0;1;1;1;0;1;0;1A;2B;-;-;5C;-;7B;8A;9A;-;11A;12C;13C;-;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
